,,,null
Feminine Care,Feminine Care,,,Product Segment
Feminine Care-Playtex,Playtex,Feminine Care,Feminine Care,Brand
Feminine Care-Playtex-Carefree,Carefree,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Drop-ins / VentAire,Drop-ins / VentAire,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Drop-ins,Drop-ins,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Edge,Edge,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Exacta 2/Slim Twin,Exacta 2/Slim Twin,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Gentle Glide,Gentle Glide,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Hydro,Hydro,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Other,Other,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Protect,Protect,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Quattro,Quattro,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Skintimate,Skintimate,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Sport,Sport,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-VentAire,VentAire,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Playtex-Xtreme 3,Xtreme 3,Feminine Care-Playtex,Playtex,Sub-Brand
Feminine Care-Schick,Schick,Feminine Care,Feminine Care,Brand
Feminine Care-Schick-Accessories,Accessories,Feminine Care-Schick,Schick,Sub-Brand
Feminine Care-Schick-Binky,Binky,Feminine Care-Schick,Schick,Sub-Brand
Feminine Care-Schick-Diaper Genie,Diaper Genie,Feminine Care-Schick,Schick,Sub-Brand
Feminine Care-Schick-Double Edge,Double Edge,Feminine Care-Schick,Schick,Sub-Brand
