CategoryCode,Category,SuperCategoryCode,SuperCategory,CategoryType,Language
Skin Care-Wet Ones,Wet Ones,Skin Care,Skin Care,Brand,en
Infant Care-Playtex-Drop-ins,Drop Ins,Infant Care-Playtex,Playtex,Sub-Brand,en
Infant Care-Playtex-Holder,Holder,Infant Care-Playtex,Playtex,Sub-Brand,en
Shaving-Schick-Exacta 2/Slim Twin,Exacta 2/Slim Twin,Shaving-Schick,Schick,Sub-Brand,en
Infant Care-Playtex-Drop Ins & VentAire,Drop Ins & VentAire,Infant Care-Playtex,Playtex,Sub-Brand,en
Shaving-Skintimate,Skintimate,Shaving,Shaving,Brand,en
Feminine Care-Carefree,Carefree,Feminine Care,Feminine Care,Brand,en
Feminine Care-o.b.,o.b.,Feminine Care,Feminine Care,Brand,en
Skin Care-Playtex,Playtex,Skin Care,Skin Care,Brand,en
Feminine Care-Playtex-Sport,Sport,Feminine Care-Playtex,Playtex,Sub-Brand,en
Sun Care,Sun Care,,,Product Segment,en
Shaving-Schick-Intuition,Intuition,Shaving-Schick,Schick,Sub-Brand,en
Sun Care-Hawaiian Tropic,Hawaiian Tropic,Sun Care,Sun Care,Brand,en
Shaving-Schick-Other,Other,Shaving-Schick,Schick,Sub-Brand,en
Shaving-Skintimate-Skintimate,Skintimate,Shaving-Skintimate,Skintimate,Sub-Brand,en
Feminine Care-o.b.-o.b.,o.b.,Feminine Care-o.b.,o.b.,Sub-Brand,en
Shaving,Shaving,,,Product Segment,en
Feminine Care-Carefree-Carefree,Carefree,Feminine Care-Carefree,Carefree,Sub-Brand,en
Skin Care,Skin Care,,,Product Segment,en
Shaving-Edge,Edge,Shaving,Shaving,Brand,en
Skin Care-Playtex-Playtex,Playtex,Skin Care-Playtex,Playtex,Sub-Brand,en
Infant Care-Playtex-Accessories,Accessories,Infant Care-Playtex,Playtex,Sub-Brand,en
Infant Care-Playtex-Binky,Binky,Infant Care-Playtex,Playtex,Sub-Brand,en
Infant Care-Playtex-Diaper Genie,Diaper Genie,Infant Care-Playtex,Playtex,Sub-Brand,en
Shaving-Schick-Double Edge,Double Edge,Shaving-Schick,Schick,Sub-Brand,en
Shaving-Schick-Lady Protect,Lady Protect,Shaving-Schick,Schick,Sub-Brand,en
Infant Care-Playtex-VentAire,VentAire,Infant Care-Playtex,Playtex,Sub-Brand,en
Infant Care,Infant Care,,,Product Segment,en
Shaving-Schick-Hydro,Hydro,Shaving-Schick,Schick,Sub-Brand,en
Infant Care-Playtex-Ortho Pro,Ortho Pro,Infant Care-Playtex,Playtex,Sub-Brand,en
Feminine Care,Feminine Care,,,Product Segment,en
Shaving-Schick-Quattro,Quattro,Shaving-Schick,Schick,Sub-Brand,en
Sun Care-Banana Boat,Banana Boat,Sun Care,Sun Care,Brand,en
Shaving-Schick,Schick,Shaving,Shaving,Brand,en
Feminine Care-Stayfree,Stayfree,Feminine Care,Feminine Care,Brand,en
Skin Care-Personal Cleansing Clothes,Personal Cleansing Clothes,Skin Care,Skin Care,Brand,en
Infant Care-Playtex-Cups & Mealtime,Cups & Mealtime,Infant Care-Playtex,Playtex,Sub-Brand,en
Shaving-Schick-Xtreme 3,Xtreme 3,Shaving-Schick,Schick,Sub-Brand,en
Shaving-Schick-Protect,Protect,Shaving-Schick,Schick,Sub-Brand,en
Feminine Care-Playtex-Gentle Glide,Gentle Glide,Feminine Care-Playtex,Playtex,Sub-Brand,en
Shaving-Edge-Edge,Edge,Shaving-Edge,Edge,Sub-Brand,en
Feminine Care-Stayfree-Stayfree,Stayfree,Feminine Care-Stayfree,Stayfree,Sub-Brand,en
Feminine Care-Playtex,Playtex,Feminine Care,Feminine Care,Brand,en
Infant Care-Playtex,Playtex,Infant Care,Infant Care,Brand,en
