CategoryCode,Category,SuperCategoryCode,SuperCategory,CategoryType,Language
Infant Care-Playtex,Playtex,Infant Care,Infant Care,Brand,es
Shaving-Schick-Xtreme 3,Xtreme 3,Shaving-Schick,Schick,Sub-Brand,es
Skin Care,Skin Care,,,Product Segment,es
Infant Care-Playtex-Ortho Pro,Ortho Pro,Infant Care-Playtex,Playtex,Sub-Brand,es
Infant Care,Infant Care,,,Product Segment,es
Shaving-Schick-Double Edge,Double Edge,Shaving-Schick,Schick,Sub-Brand,es
Sun Care-Hawaiian Tropic,Hawaiian Tropic,Sun Care,Sun Care,Brand,es
Skin Care-Playtex-Playtex,Playtex,Skin Care-Playtex,Playtex,Sub-Brand,es
Skin Care-Personal Cleansing Clothes,Personal Cleansing Clothes,Skin Care,Skin Care,Brand,es
Shaving-Schick-Other,Other,Shaving-Schick,Schick,Sub-Brand,es
Skin Care-Wet Ones,Wet Ones,Skin Care,Skin Care,Brand,es
Skin Care-Playtex,Playtex,Skin Care,Skin Care,Brand,es
Infant Care-Playtex-Diaper Genie,Diaper Genie,Infant Care-Playtex,Playtex,Sub-Brand,es
Shaving-Schick,Schick,Shaving,Shaving,Brand,es
Infant Care-Playtex-VentAire,VentAire,Infant Care-Playtex,Playtex,Sub-Brand,es
Shaving-Edge-Edge,Edge,Shaving-Edge,Edge,Sub-Brand,es
Feminine Care-o.b.-o.b.,o.b.,Feminine Care-o.b.,o.b.,Sub-Brand,es
Feminine Care-Stayfree-Stayfree,Stayfree,Feminine Care-Stayfree,Stayfree,Sub-Brand,es
Shaving-Schick-Exacta 2/Slim Twin,Exacta 2/Slim Twin,Shaving-Schick,Schick,Sub-Brand,es
Sun Care-Banana Boat,Banana Boat,Sun Care,Sun Care,Brand,es
Feminine Care,Feminine Care,,,Product Segment,es
Feminine Care-Playtex-Sport,Sport,Feminine Care-Playtex,Playtex,Sub-Brand,es
Shaving-Schick-Lady Protect,Lady Protect,Shaving-Schick,Schick,Sub-Brand,es
Feminine Care-Playtex,Playtex,Feminine Care,Feminine Care,Brand,es
Feminine Care-Carefree,Carefree,Feminine Care,Feminine Care,Brand,es
Feminine Care-o.b.,o.b.,Feminine Care,Feminine Care,Brand,es
Shaving-Schick-Protect,Protect,Shaving-Schick,Schick,Sub-Brand,es
Shaving-Schick-Hydro,Hydro,Shaving-Schick,Schick,Sub-Brand,es
Shaving-Skintimate,Skintimate,Shaving,Shaving,Brand,es
Feminine Care-Stayfree,Stayfree,Feminine Care,Feminine Care,Brand,es
Infant Care-Playtex-Drop Ins,Drop Ins,Infant Care-Playtex,Playtex,Sub-Brand,es
Shaving-Skintimate-Skintimate,Skintimate,Shaving-Skintimate,Skintimate,Sub-Brand,es
Infant Care-Playtex-Binky,Binky,Infant Care-Playtex,Playtex,Sub-Brand,es
Infant Care-Playtex-Accessories,Accessories,Infant Care-Playtex,Playtex,Sub-Brand,es
Feminine Care-Carefree-Carefree,Carefree,Feminine Care-Carefree,Carefree,Sub-Brand,es
Infant Care-Playtex-Drop Ins & VentAire,Drop Ins & VentAire,Infant Care-Playtex,Playtex,Sub-Brand,es
Shaving-Schick-Quattro,Quattro,Shaving-Schick,Schick,Sub-Brand,es
Infant Care-Playtex-Holder,Holder,Infant Care-Playtex,Playtex,Sub-Brand,es
Feminine Care-Playtex-Gentle Glide,Gentle Glide,Feminine Care-Playtex,Playtex,Sub-Brand,es
Shaving-Edge,Edge,Shaving,Shaving,Brand,es
Shaving-Schick-Intuition,Intuition,Shaving-Schick,Schick,Sub-Brand,es
Sun Care,Sun Care,,,Product Segment,es
Shaving,Shaving,,,Product Segment,es
Infant Care-Playtex-Cups & Mealtime,Cups & Mealtime,Infant Care-Playtex,Playtex,Sub-Brand,es
