CategoryCode,Category,SuperCategoryCode,SuperCategory,CategoryType,Language
Rechargeable-Batteries,Batteries,Rechargeable,Rechargeable,Brand,en
Specialty Batteries-Photo Batteries,Photo Batteries,Specialty Batteries,Specialty Batteries,Brand,en
Lighting Products-Handheld Lights,Handheld Lights,Lighting Products,Lighting Products,Brand,en
Energizer Batteries-Energizer Max,Energizer Max,Energizer Batteries,Energizer Batteries,Brand,en
Energizer Batteries-Eco Advanced,Eco Advanced,Energizer Batteries,Energizer Batteries,Brand,en
Lighting Products-Kids Lights,Kids Lights,Lighting Products,Lighting Products,Brand,en
Rechargeable-Chargers,Chargers,Rechargeable,Rechargeable,Brand,en
Energizer Batteries-Ultimate Lithium,Ultimate Lithium,Energizer Batteries,Energizer Batteries,Brand,en
Lighting Products-Handsfree Lights,Handsfree Lights,Lighting Products,Lighting Products,Brand,en
Eveready Batteries-Extra Duration Super Heavy Duty,Extra Duration Super Heavy Duty,Eveready Batteries,Eveready Batteries,Brand,en
Specialty Batteries,Specialty Batteries,,,Product Segment,en
Lighting Products,Lighting Products,,,Product Segment,en
Eveready Batteries,Eveready Batteries,,,Product Segment,en
Lighting Products-Spot Lights,Spot Lights,Lighting Products,Lighting Products,Brand,en
Lighting Products-Area Lights,Area Lights,Lighting Products,Lighting Products,Brand,en
Energizer Batteries,Energizer Batteries,,,Product Segment,en
Specialty Batteries-Hearing Aid Batteries,Hearing Aid Batteries,Specialty Batteries,Specialty Batteries,Brand,en
Lighting Products-Nightlights,Nightlights,Lighting Products,Lighting Products,Brand,en
Eveready Batteries-General Purpose,General Purpose,Eveready Batteries,Eveready Batteries,Brand,en
Specialty Batteries-Electronic Batteries,Electronic Batteries,Specialty Batteries,Specialty Batteries,Brand,en
Eveready Batteries-Eveready Silver,Eveready Silver,Eveready Batteries,Eveready Batteries,Brand,en
Eveready Batteries-Heavy Duty,Heavy Duty,Eveready Batteries,Eveready Batteries,Brand,en
Energizer Batteries-Advanced Lithium,Advanced Lithium,Energizer Batteries,Energizer Batteries,Brand,en
Rechargeable,Rechargeable,,,Product Segment,en
Specialty Batteries-Watch Batteries,Watch Batteries,Specialty Batteries,Specialty Batteries,Brand,en
Eveready Batteries-Eveready Gold,Eveready Gold,Eveready Batteries,Eveready Batteries,Brand,en

