CategoryCode,Category,SuperCategoryCode,SuperCategory,CategoryType,Language
Specialty Batteries-Photo Batteries,Photo Batteries,Specialty Batteries,Specialty Batteries,Brand,es
Lighting Products-Kids Lights,Kids Lights,Lighting Products,Lighting Products,Brand,es
Energizer Batteries,Energizer Batteries,,,Product Segment,es
Lighting Products-Spot Lights,Spot Lights,Lighting Products,Lighting Products,Brand,es
Eveready Batteries-Extra Duration Super Heavy Duty,Extra Duration Super Heavy Duty,Eveready Batteries,Eveready Batteries,Brand,es
Energizer Batteries-Energizer Max,Energizer Max,Energizer Batteries,Energizer Batteries,Brand,es
Rechargeable-Batteries,Batteries,Rechargeable,Rechargeable,Brand,es
Eveready Batteries-Eveready Silver,Eveready Silver,Eveready Batteries,Eveready Batteries,Brand,es
Lighting Products-Area Lights,Area Lights,Lighting Products,Lighting Products,Brand,es
Lighting Products-Handsfree Lights,Handsfree Lights,Lighting Products,Lighting Products,Brand,es
Rechargeable-Chargers,Chargers,Rechargeable,Rechargeable,Brand,es
Lighting Products,Lighting Products,,,Product Segment,es
Specialty Batteries-Watch Batteries,Watch Batteries,Specialty Batteries,Specialty Batteries,Brand,es
Rechargeable,Rechargeable,,,Product Segment,es
Energizer Batteries-Eco Advanced,Eco Advanced,Energizer Batteries,Energizer Batteries,Brand,es
Eveready Batteries-Heavy Duty,Heavy Duty,Eveready Batteries,Eveready Batteries,Brand,es
Eveready Batteries,Eveready Batteries,,,Product Segment,es
Specialty Batteries,Specialty Batteries,,,Product Segment,es
Specialty Batteries-Hearing Aid Batteries,Hearing Aid Batteries,Specialty Batteries,Specialty Batteries,Brand,es
Eveready Batteries-General Purpose,General Purpose,Eveready Batteries,Eveready Batteries,Brand,es
Energizer Batteries-Advanced Lithium,Advanced Lithium,Energizer Batteries,Energizer Batteries,Brand,es
Specialty Batteries-Electronic Batteries,Electronic Batteries,Specialty Batteries,Specialty Batteries,Brand,es
Eveready Batteries-Eveready Gold,Eveready Gold,Eveready Batteries,Eveready Batteries,Brand,es
Energizer Batteries-Ultimate Lithium,Ultimate Lithium,Energizer Batteries,Energizer Batteries,Brand,es
Lighting Products-Nightlights,Nightlights,Lighting Products,Lighting Products,Brand,es
Lighting Products-Handheld Lights,Handheld Lights,Lighting Products,Lighting Products,Brand,es
