ERPMaterialID,SegmentName,SegmentDescription,FamilyName,FamilyDescription,GroupName,GroupDescription,SubGroupName,SubGroupDescription
000000000007032573,SEGSPEC,,FAMMBA,,MRE,,MREL,
000000000007319467,SEGSPEC,,FAMMBA,,MRE,,MREL,
000000000007320497,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0024401,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0060602,SEGPREM,,FAMPAB,,PRA,,PRAUMAAA,
E0060902,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0072207,SEGPERF,,FAMLIM,,LIT,,LITAA,
E0082802,SEGSPEC,,FAMMBA,,MPW,,MPWA,
E0113214,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0113215,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0113222,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0113225,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0113600,SEGPREM,,FAMPAB,,PRA,,PRAUMC,
E0113610,SEGPREM,,FAMPAB,,PRA,,PRAUMC,
E0113900,SEGPREM,,FAMPAB,,PRA,,PRAUMD,
E0116300,SEGPRIC,,FAMCAZ,,BCZ,,BCZBK6V,
E0116301,SEGPRIC,,FAMCAZ,,BCZ,,BCZBK6V,
E0134600,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0136100,SEGPREM,,FAMPAB,,PRA,,PRAUM9V,
E0136104,SEGPREM,,FAMPAB,,PRA,,PRAUM9V,
E0136105,SEGPREM,,FAMPAB,,PRA,,PRAUM9V,
E0140007,SEGPREM,,FAMPAB,,PRA,,PRAUMAAA,
E0140010,SEGPREM,,FAMPAB,,PRA,,PRAUMAAA,
E0154609,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0154611,SEGPREM,PREMIUM BATT,FAMPAB,PREMIUM ALKALINE FAMILY,PRA,PREMIUM ALKALINE,PRAUMAA,PREM ALK ULTRA+ / MAX AA
E0162600,SEGPERF,,FAMREC,,CHA,,CHACHARGER,
E0167804,SEGLIGH,,FAMLIP,,DIS,,DISL,
E0168700,SEGPRIC,,FAMPAL,,INA,,INAAAA,
E0168702,SEGPRIC,,FAMPAL,,INA,,INAAAA,
E0170803,SEGLIGH,,FAMLIP,,DIS,,DISL,
E0178602,SEGPRIC,,FAMBVA,,EVE,,EVEAA,
E0181906,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0185405,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0191200,SEGPRIC,,FAMPAL,,INA,,INA9V,
E01912E0,SEGPRIC,,FAMPAL,,INA,,INA9V,
E0191900,SEGPRIC,,FAMPAL,,INA,,INAAA,
E0221411,SEGLIGH,,FAMLIP,,ALI,,ALIG,
E0222110,SEGLIGH,,FAMLIP,,HFL,,HFLG,
E0234607,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0234610,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0249310,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0249311,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0258200,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0258402,SEGSPEC,,FAMSPB,,PHO,,PHOSP,
E0263409,SEGPERF,,FAMREC,,CHA,,CHACHARGER,
E0264307,SEGPRIC,,FAMBVA,,EVE,,EVEAA,
E0264504,SEGPRIC,,FAMBVA,,EVE,,EVEAAA,
E0264603,SEGPRIC,,FAMBVA,,EVE,,EVE9V,
E0277003,SEGLIGH,,FAMLIP,,SPL,,SPLG,
E0279400,SEGPERF,,FAMPEA,,PEA,,PEAAA,
E0279500,SEGPERF,,FAMPEA,,PEA,,PEAAA,
E0288500,SEGPRIC,,FAMBVA,,EVE,,EVED,
E0297504,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0328011,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0328310,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0328408,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0397705,SEGPREM,PREMIUM BATT,FAMPAB,PREMIUM ALKALINE FAMILY,PRA,PREMIUM ALKALINE,PRAUMD,PREM ALK ULTRA+ / MAX D
E0454600,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0454603,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0497301,SEGPRIC,,FAMCAZ,,BCZ,,BCZBK9V,
E0513400,SEGPERF,,FAMREC,,CHA,,CHACHARGER,
E05285A0,SEGPRIC,,FAMCAZ,,BCZ,,BCZBKD,
E05286A0,SEGPRIC,,FAMCAZ,,BCZ,,BCZBKD,
E0529001,SEGPRIC,,FAMCAZ,,BCZ,,BCZBKAA,
E05685ZZ,SEGPRIC,,FAMBVA,,EVE,,EVEAA,
E05759ZZ,SEGPRIC,,FAMBVA,,EVE,,EVEAA,
E0590701,SEGPRIC,,FAMCAZ,,BCZ,,BCZBKAAA,
E0599704,SEGLIGH,,FAMLIP,,HLI,,HLIG,
E0621301,SEGPRIC,,FAMBVA,,EVE,,EVED,
E0622001,SEGPRIC,,FAMBVA,,EVE,,EVEC,
E0622503,SEGPREM,,FAMPAB,,PRA,,PRAUMD,
E0647006,SEGPREM,,FAMPAB,,PRA,,PRAUMAA,
E0647309,SEGPREM,,FAMPAB,,PRA,,PRAUMAAA,
E0766310,SEGPREM,,FAMPAB,,PRA,,PRAUMOTH,
E0791700,SEGPERF,,FAMLIM,,LIT,,LITAA,
E0791715,SEGPERF,,FAMLIM,,LIT,,LITAA,
E0791819,SEGPERF,,FAMLIM,,LIT,,LITAA,
E0791825,SEGPERF,PERFORMANCE,FAMLIM,LITHIUM FAMILY,LIT,LITHIUM ULTIMATE,LITAA,LITHIUM ULTIMATE AA
E0793000,SEGPERF,,FAMLIM,,LIT,,LITAAA,
E0793011,SEGPERF,,FAMLIM,,LIT,,LITAAA,
E0801016,SEGPERF,,FAMREC,,REC,,RECHARGE,
E0801100,SEGPERF,,FAMREC,,REC,,RECHARGE,
E0801109,SEGPERF,,FAMREC,,REC,,RECHARGE,
E0818100,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0822203,SEGSPEC,,FAMMBA,,MRE,,MREL,
E0822302,SEGSPEC,,FAMMBA,,MRE,,MREL,
