ERPMaterialID,Language,ProductDesription
000000000007032573,EN,A23BS1 SB1 A1 MN CN 480P21120
000000000007319467,EN,A27BS1 SB2A1MNCN480P23040
000000000007320497,EN,BE-BFL3AA1NAMXD CN48
E0024401,EN,E250Y.1 - 2D Industrial Flashlight
E0024401,FR,E250Y LAMPE DE POCHE ENERGIZER
E0060602,EN,E92FP-12.BW - ENR MAX AAA-12 FAM PK
E0060902,EN,E91FP-12.BW - ENR MAX AA-12 FAMILY PACK
E0072207,EN,L91VP.B3 - ULTIMATE LITH AA OEM VOL
E0072207,FR,L91VP LITHIUM ENERGIZER AA
E0082802,EN,ECR2032.BC - ENERGIZER WATCH BATTERY
E0113214,EN,E91BP-4.BW - MAX AA-4
E0113214,FR,E91BP4EM ENERGIZER AA4
E0113215,EN,E91BP-4.BL - AA-4 LATAM
E0113222,EN,E91BP-4.PE - MAX AA-4 EMOD
E0113222,FR,E91BP4EM ENERGIZER AA4
E0113225,EN,E91BP-4.TT - MAX AA-4
E0113225,FR,E91BP4EM ENERGIZER AA4
E0113600,EN,E93BP-2 - PRICING REFERENCE
E0113610,EN,E93BP-2.01 - MAX C2 AMERICAS
E0113900,EN,E95BP-2 - PRICING REFERENCE
E0116300,EN,1209 - PRICING REFERENCE
E0116300,FR,1209 PILE LANTERNE EVEREADY SHD 6V
E0116301,EN,1209.H3 EVEREADY SHD 6V LTN BTY
E0116301,FR,1209 PILE LANTERNE EVEREADY SHD 6V
E0134600,EN,1259 - PRICING REFERENCE
E0134600,FR,1259 LAMPE EVEREADY
E0136100,EN,522BP - PRICING REFERENCE
E0136104,EN,522BP.BW - ENR MAX 9V-1
E0136105,EN,522BP.PB - ENR MAX 9V-1 NON BUNNY
E0140007,EN,E92BP-2.BL - AAA/2 FOR LATAM
E0140010,EN,E92BP-2.PW - ENR MAX AAA-2 CARD
E0154609,EN,E91BP-2.PW - ENERGIZER MAX AA 2 PK
E0154611,EN,E91BP-2.PC - ENR MAX AA-2 CARD
E0162600,EN,CHFMWB-4.00 - PRICING REFERENCE
